#ID	prob(Ia)	prob(II)	prob(Ibc)
821	0.210272	0.675636	0.114092
822	0.281588	0.590529	0.127883
823	0.286261	0.585758	0.127981
824	0.304646	0.568095	0.127258
825	0.253589	0.624865	0.121547
826	0.235220	0.663912	0.100868
827	0.288341	0.576885	0.134774
828	0.231188	0.677289	0.091524
829	0.317500	0.533918	0.148582
830	0.264859	0.603619	0.131522
831	0.319874	0.551315	0.128810
832	0.260863	0.617273	0.121864
833	0.294828	0.562812	0.142361
834	0.255290	0.616246	0.128464
835	0.274868	0.592653	0.132480
836	0.301249	0.561040	0.137711
837	0.286224	0.577218	0.136559
838	0.302792	0.558470	0.138738
839	0.291967	0.578206	0.129827
840	0.300678	0.551909	0.147412
841	0.293628	0.562143	0.144229
842	0.264666	0.604061	0.131273
843	0.319291	0.546470	0.134239
844	0.314370	0.550789	0.134841
845	0.314909	0.554474	0.130617
846	0.314485	0.542232	0.143283
847	0.300219	0.567285	0.132496
848	0.263926	0.609431	0.126642
849	0.240567	0.654020	0.105413
850	0.234370	0.670291	0.095339
851	0.263005	0.608987	0.128008
852	0.278639	0.590104	0.131257
853	0.281589	0.589430	0.128982
854	0.248017	0.641604	0.110379
855	0.298022	0.571850	0.130129
856	0.282451	0.584059	0.133489
857	0.322727	0.528236	0.149037
858	0.279901	0.591011	0.129087
859	0.241734	0.624427	0.133839
860	0.294872	0.571817	0.133311
861	0.272162	0.601296	0.126542
862	0.238871	0.632294	0.128835
863	0.268770	0.604767	0.126463
864	0.296955	0.571119	0.131926
865	0.285956	0.574113	0.139930
866	0.287429	0.575154	0.137417
867	0.289527	0.579636	0.130838
868	0.256581	0.618446	0.124974
869	0.323136	0.541648	0.135216
870	0.236691	0.629176	0.134132
871	0.266361	0.607493	0.126147
872	0.298617	0.550742	0.150641
873	0.295114	0.560450	0.144436
874	0.323649	0.537802	0.138549
875	0.247737	0.627002	0.125261
876	0.302851	0.568615	0.128534
877	0.233797	0.665404	0.100799
878	0.253599	0.625854	0.120547
879	0.310017	0.557506	0.132476
880	0.300279	0.568414	0.131307
881	0.295460	0.576930	0.127610
882	0.245402	0.649519	0.105079
883	0.249223	0.625127	0.125650
884	0.284702	0.580544	0.134754
885	0.313426	0.548066	0.138508
886	0.278501	0.610845	0.110655
887	0.254463	0.625949	0.119588
888	0.269969	0.600219	0.129812
889	0.308598	0.556778	0.134624
890	0.263959	0.610024	0.126017
891	0.292357	0.577065	0.130578
892	0.286674	0.576079	0.137246
893	0.280166	0.586772	0.133062
894	0.283721	0.574970	0.141308
895	0.322736	0.547024	0.130240
896	0.296265	0.576631	0.127104
897	0.293445	0.568076	0.138479
898	0.279549	0.589618	0.130833
899	0.306430	0.560731	0.132839
900	0.291178	0.595359	0.113464
901	0.268483	0.604629	0.126888
902	0.255162	0.619744	0.125094
903	0.266710	0.611088	0.122202
904	0.313662	0.551742	0.134596
905	0.264196	0.605126	0.130678
906	0.313884	0.546769	0.139346
907	0.254633	0.634610	0.110757
908	0.283273	0.599750	0.116976
909	0.292814	0.583458	0.123728
910	0.245351	0.653898	0.100751
911	0.298948	0.575135	0.125917
912	0.294956	0.571127	0.133917
913	0.316455	0.552155	0.131390
914	0.304494	0.550851	0.144654
915	0.276202	0.594305	0.129493
916	0.319529	0.543892	0.136580
917	0.264745	0.603374	0.131881
918	0.280784	0.590214	0.129002
919	0.279589	0.602477	0.117933
920	0.267903	0.603190	0.128908
921	0.307007	0.574379	0.118614
922	0.277350	0.604944	0.117706
923	0.271652	0.585975	0.142374
924	0.310794	0.558825	0.130381
925	0.233118	0.639519	0.127362
926	0.314392	0.558386	0.127222
927	0.270139	0.600435	0.129426
928	0.276232	0.612608	0.111160
929	0.285722	0.572796	0.141482
930	0.279198	0.587913	0.132889
931	0.278991	0.591773	0.129236
932	0.295752	0.578560	0.125688
933	0.277101	0.626702	0.096197
934	0.233399	0.669553	0.097048
935	0.301133	0.550994	0.147872
936	0.289526	0.573347	0.137127
937	0.279776	0.590272	0.129952
938	0.255111	0.618968	0.125921
939	0.295490	0.580821	0.123689
940	0.254276	0.621091	0.124633
941	0.264169	0.608581	0.127250
942	0.296337	0.575426	0.128237
943	0.295588	0.562176	0.142235
944	0.265618	0.599467	0.134915
945	0.276134	0.591946	0.131921
946	0.264338	0.609850	0.125812
947	0.301247	0.560489	0.138264
948	0.276496	0.590501	0.133003
949	0.314130	0.556680	0.129190
950	0.288238	0.574267	0.137495
951	0.239902	0.659803	0.100296
952	0.292366	0.567730	0.139905
953	0.301735	0.567334	0.130931
954	0.233045	0.662961	0.103994
955	0.294338	0.567908	0.137754
956	0.301214	0.555244	0.143542
957	0.294630	0.573191	0.132179
958	0.311500	0.558285	0.130215
959	0.303790	0.566786	0.129423
960	0.277574	0.595389	0.127036
961	0.299833	0.567823	0.132344
962	0.312349	0.553358	0.134293
963	0.245556	0.626902	0.127542
964	0.271954	0.602544	0.125502
965	0.277292	0.593791	0.128916
966	0.307242	0.549512	0.143246
967	0.271518	0.603413	0.125069
968	0.278486	0.586754	0.134761
969	0.182450	0.718716	0.098833
970	0.290526	0.572266	0.137208
971	0.272433	0.599374	0.128193
972	0.281507	0.599847	0.118645
973	0.305422	0.559796	0.134782
974	0.254675	0.620446	0.124879
975	0.303401	0.561039	0.135559
976	0.275477	0.580866	0.143658
977	0.269965	0.596385	0.133651
978	0.300558	0.566505	0.132937
979	0.309039	0.561763	0.129197
980	0.296050	0.574281	0.129669
981	0.271759	0.606615	0.121626
982	0.252356	0.615323	0.132321
983	0.203469	0.694918	0.101613
984	0.269601	0.609185	0.121215
985	0.225191	0.646502	0.128307
986	0.245036	0.647311	0.107653
987	0.286660	0.576960	0.136380
988	0.280913	0.594012	0.125075
989	0.309296	0.557419	0.133285
990	0.269457	0.598647	0.131896
991	0.293627	0.577154	0.129220
992	0.283143	0.576777	0.140080
993	0.260852	0.624135	0.115013
994	0.279553	0.584076	0.136371
995	0.271425	0.605155	0.123420
996	0.265005	0.597384	0.137611
997	0.319692	0.546085	0.134222
998	0.232858	0.670260	0.096883
999	0.280439	0.588361	0.131201
1000	0.315173	0.552237	0.132590
